benefit_id,card_id,row_type,benefit_group,benefit_title,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,group_max_limit,group_max_limit_unit,unit_amount,benefit_content,ui_title,ui_content,updated_at
00236_B0004,236,주요혜택,"주차, 세차 청구할인","주차, 세차 청구할인",자동차/주유,6,Offline,할인,20,%,"주차장, 세차장",전월 실적 40만원 이상,400000,,,,5000,원,,,,"[주차, 세차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>주차장, 세차장 업종</td><td>40만원 이상</td><td>20%</td><td>5천원</td></tr></table>",자동차/주유 20% 할인,"[주차, 세차 청구할인]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>주차장, 세차장 업종</td><td>40만원 이상</td><td>20%</td><td>5천원</td></tr></table>",2026-06-05
00236_B0005,236,주요혜택,OTT 청구할인,OTT 청구할인,구독/스트리밍,8,Online,할인,20,%,"넷플릭스, 티빙, 웨이브, 디즈니플러스, 유튜브",전월 실적 40만원 이상,400000,,,,5000,원,,,,"[OTT 청구할인]
- 공식 홈페이지/모바일앱을 통한 정기결제 시 할인
  (간편결제 및 앱스토어를 통한 인앱결제 등은 제외)
- 유튜브는 유튜브 프리미엄 멤버십 결제건에 한함
  (채널 구독 등 제외)

[이용 조건]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>넷플릭스, 티빙, 웨이브, 디즈니 플러스, 유튜브</td><td>20%</td><td>40만원 이상</td><td>5천원</td></tr></table>",구독/스트리밍 20% 할인,"[OTT 청구할인]
- 공식 홈페이지/모바일앱을 통한 정기결제 시 할인
  (간편결제 및 앱스토어를 통한 인앱결제 등은 제외)
- 유튜브는 유튜브 프리미엄 멤버십 결제건에 한함
  (채널 구독 등 제외)

[이용 조건]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>넷플릭스, 티빙, 웨이브, 디즈니 플러스, 유튜브</td><td>20%</td><td>40만원 이상</td><td>5천원</td></tr></table>",2026-06-05
00236_B0006,236,주요혜택,KB Pay 오픈마켓 청구할인,"G마켓, 옥션, 11번가 할인",온라인쇼핑,1,Online,할인,10,%,"G마켓, 옥션, 11번가",전월 실적 40만원 이상,400000,,,,5000,원,,,,"[KB Pay 오픈마켓 청구할인]
- G마켓, 옥션, 11번가에서 KB Pay 결제수단으로 결제 시 할인

[이용 조건]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>G마켓, 옥션, 11번가</td><td>10%</td><td>40만원 이상</td><td>5천원</td></tr></table>",온라인쇼핑 10% 할인,"[KB Pay 오픈마켓 청구할인]
- G마켓, 옥션, 11번가에서 KB Pay 결제수단으로 결제 시 할인

[이용 조건]
<table class=""benefit-table""><tr><th>할인 대상</th><th>전월 이용실적</th><th>할인율</th><th>월 할인한도</th></tr><tr><td>G마켓, 옥션, 11번가</td><td>10%</td><td>40만원 이상</td><td>5천원</td></tr></table>",2026-06-05
00236_B0007,236,주요혜택,자동차보험 청구할인,자동차보험 청구할인,자동차/주유,6,Both,서비스,,,자동차보험,,0,,,연 1회,,,,,,"[자동차보험 청구할인]
- 회원별 연1회(매년 1월1일~12월31일 기준) 할인서비스 제공",자동차보험 청구할인 연 1회 제공,"[자동차보험 청구할인]
- 회원별 연1회(매년 1월1일~12월31일 기준) 할인서비스 제공",2026-06-05
01142_B0001,1142,주요혜택,CJ온스타일 5% 청구할인,CJ온스타일 5% 청구할인,온라인쇼핑,1,Both,할인,5,%,"CJ온스타일 (TV방송, 카탈로그)",,0,,0,,30000,원,,,,"[CJ온스타일 5% 청구할인]
- CJ온스타일 (TV방송, 카탈로그) 5% 청구할인
  월 60만원 이용금액까지 할인 적용 [월 할인한도 3만원]",온라인쇼핑 5% 할인,"[CJ온스타일 5% 청구할인]
- CJ온스타일 (TV방송, 카탈로그) 5% 청구할인
  월 60만원 이용금액까지 할인 적용 [월 할인한도 3만원]",2026-06-05
01142_B0002,1142,주요혜택,CGV 2~6천원 청구할인,CGV 청구할인,문화/엔터,11,Both,할인,6000,원,CGV 영화티켓,전월 실적 30만원 이상,300000,,8500,연 12회,,,,,,"[CGV 2~6천원 청구할인]
- CGV 영화티켓 예매 및 구입 시 2천원~6천원 청구할인
  일 1회, 연 12회 (가족회원 이용분 포함)
  동일 제휴카드 2개 이상 소지 시 중복 적용 불가
  회원별 직전 3개월 간 월평균 결제(회수)실적에 따라 차등 할인
  횟수 제한은 예매일(승인 시점) 기준
- 회원별 직전 3개월 월평균 결제회수금액 30만원 이상이란?
  영화 예매일(관람일 아님)이 5월 28일인 경우 2~4월 실제 납부 카드대금(원금기준) 합계가 90만원 이상인 경우 (선결제 포함)
- 제외대상 : 장기카드대출(카드론), 정부지원금, 각종 수수료(할부수수료, 단기카드대출(현금서비스) 이용수수료 등) 및 이자, 연체이자, 연회비
<table class=""benefit-table""><tr><th rowspan=""2"">회원별 직전 3개월 월평균 결제(회수)실적</th><th colspan=""2"">영화티켓 예매 및 구입금액</th></tr><tr><th>건당 8,500원 미만</th><th>건당 8,500원 이상</th></tr><tr><th>30만원 미만</th><td colspan=""2"">2,000원 청구할인</td></tr><tr><th>30만원 이상</th><td>3,000원 청구할인</td><td>6,000원 청구할인</td></tr></table>",문화/엔터 6000원 할인,"[CGV 2~6천원 청구할인]
- CGV 영화티켓 예매 및 구입 시 2천원~6천원 청구할인
  일 1회, 연 12회 (가족회원 이용분 포함)
  동일 제휴카드 2개 이상 소지 시 중복 적용 불가
  회원별 직전 3개월 간 월평균 결제(회수)실적에 따라 차등 할인
  횟수 제한은 예매일(승인 시점) 기준
- 회원별 직전 3개월 월평균 결제회수금액 30만원 이상이란?
  영화 예매일(관람일 아님)이 5월 28일인 경우 2~4월 실제 납부 카드대금(원금기준) 합계가 90만원 이상인 경우 (선결제 포함)
- 제외대상 : 장기카드대출(카드론), 정부지원금, 각종 수수료(할부수수료, 단기카드대출(현금서비스) 이용수수료 등) 및 이자, 연체이자, 연회비
<table class=""benefit-table""><tr><th rowspan=""2"">회원별 직전 3개월 월평균 결제(회수)실적</th><th colspan=""2"">영화티켓 예매 및 구입금액</th></tr><tr><th>건당 8,500원 미만</th><th>건당 8,500원 이상</th></tr><tr><th>30만원 미만</th><td colspan=""2"">2,000원 청구할인</td></tr><tr><th>30만원 이상</th><td>3,000원 청구할인</td><td>6,000원 청구할인</td></tr></table>",2026-06-05
01142_B0003,1142,주요혜택,CGV 2~6천원 청구할인,CGV 청구할인,문화/엔터,11,Both,할인,3000,원,CGV 영화티켓,,0,300000,,연 12회,,,,,,"[CGV 2~6천원 청구할인]
- CGV 영화티켓 예매 및 구입 시 2천원~6천원 청구할인
  일 1회, 연 12회 (가족회원 이용분 포함)
  동일 제휴카드 2개 이상 소지 시 중복 적용 불가
  회원별 직전 3개월 간 월평균 결제(회수)실적에 따라 차등 할인
  횟수 제한은 예매일(승인 시점) 기준
- 회원별 직전 3개월 월평균 결제회수금액 30만원 이상이란?
  영화 예매일(관람일 아님)이 5월 28일인 경우 2~4월 실제 납부 카드대금(원금기준) 합계가 90만원 이상인 경우 (선결제 포함)
- 제외대상 : 장기카드대출(카드론), 정부지원금, 각종 수수료(할부수수료, 단기카드대출(현금서비스) 이용수수료 등) 및 이자, 연체이자, 연회비
<table class=""benefit-table""><tr><th rowspan=""2"">회원별 직전 3개월 월평균 결제(회수)실적</th><th colspan=""2"">영화티켓 예매 및 구입금액</th></tr><tr><th>건당 8,500원 미만</th><th>건당 8,500원 이상</th></tr><tr><th>30만원 미만</th><td colspan=""2"">2,000원 청구할인</td></tr><tr><th>30만원 이상</th><td>3,000원 청구할인</td><td>6,000원 청구할인</td></tr></table>",문화/엔터 3000원 할인,"[CGV 2~6천원 청구할인]
- CGV 영화티켓 예매 및 구입 시 2천원~6천원 청구할인
  일 1회, 연 12회 (가족회원 이용분 포함)
  동일 제휴카드 2개 이상 소지 시 중복 적용 불가
  회원별 직전 3개월 간 월평균 결제(회수)실적에 따라 차등 할인
  횟수 제한은 예매일(승인 시점) 기준
- 회원별 직전 3개월 월평균 결제회수금액 30만원 이상이란?
  영화 예매일(관람일 아님)이 5월 28일인 경우 2~4월 실제 납부 카드대금(원금기준) 합계가 90만원 이상인 경우 (선결제 포함)
- 제외대상 : 장기카드대출(카드론), 정부지원금, 각종 수수료(할부수수료, 단기카드대출(현금서비스) 이용수수료 등) 및 이자, 연체이자, 연회비
<table class=""benefit-table""><tr><th rowspan=""2"">회원별 직전 3개월 월평균 결제(회수)실적</th><th colspan=""2"">영화티켓 예매 및 구입금액</th></tr><tr><th>건당 8,500원 미만</th><th>건당 8,500원 이상</th></tr><tr><th>30만원 미만</th><td colspan=""2"">2,000원 청구할인</td></tr><tr><th>30만원 이상</th><td>3,000원 청구할인</td><td>6,000원 청구할인</td></tr></table>",2026-06-05
01664_B0001,1664,주요혜택,대중교통 10% 할인,대중교통 10% 할인,대중교통/택시,5,Offline,할인,10,%,"시내버스, 지하철, 고속버스, 시외버스",전월 실적 30만원 이상,300000,,,,20000,원,,,,"[대중교통 10% 할인]
- 교통이용금액 월 2만원까지 할인 적용 (최대 할인액 2,000원)
- 후불교통(시내버스, 지하철) 10% 청구할인
* 실제 이용일이 아닌 이메일 이용내역서상 기재된 이용일 기준으로 할인 적용
* KB국민카드 가맹점 업종 분류기준에 따라 할인 제공
- 고속/시외버스 환급할인
* KB국민카드 가맹점 업종 분류기준에 따라 할인 제공
- 실적 조건 : 전월 이용실적 30만원 이상
- 전월이용실적에 따른 통합할인한도 적용",대중교통/택시 10% 할인,"[대중교통 10% 할인]
- 교통이용금액 월 2만원까지 할인 적용 (최대 할인액 2,000원)
- 후불교통(시내버스, 지하철) 10% 청구할인
* 실제 이용일이 아닌 이메일 이용내역서상 기재된 이용일 기준으로 할인 적용
* KB국민카드 가맹점 업종 분류기준에 따라 할인 제공
- 고속/시외버스 환급할인
* KB국민카드 가맹점 업종 분류기준에 따라 할인 제공
- 실적 조건 : 전월 이용실적 30만원 이상
- 전월이용실적에 따른 통합할인한도 적용",2026-06-05
01664_B0002,1664,주요혜택,"이동통신요금 2,500원 환급할인",이동통신요금 할인,생활비,12,Offline,할인,2500,원,"SKT, KT Olleh, LGU+",전월 실적 30만원 이상,300000,,50000,,2500,원,,,,"[이동통신요금 2,500원 환급할인]
- 건당 5만원 이상 이용 시 2,500원 정액할인
- 해당카드로 자동이체 등록 시 할인 적용
- 전월 이용실적 30만원 이상 시 할인 적용
- 유무선 통신요금 통합청구금액 자동이체는 할인 제외
- SKT, KT Olleh, LGU+에 한하여 할인 적용",생활비 2500원 할인,"[이동통신요금 2,500원 환급할인]
- 건당 5만원 이상 이용 시 2,500원 정액할인
- 해당카드로 자동이체 등록 시 할인 적용
- 전월 이용실적 30만원 이상 시 할인 적용
- 유무선 통신요금 통합청구금액 자동이체는 할인 제외
- SKT, KT Olleh, LGU+에 한하여 할인 적용",2026-06-05
01664_B0003,1664,주요혜택,CGV 35% 환급할인,CGV 35% 환급할인,문화/엔터,11,Offline,할인,35,%,CGV,전월 실적 20만원 이상,200000,,10000,,20000,원,,,,"[CGV 35% 환급할인]
- 이용금액 건당 1만원~2만원까지 할인 적용
- 제공조건 : 현장구매 및 CGV 홈페이지
- 할인제외 : 상품권 구매 / 매점 이용금액
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",문화/엔터 35% 할인,"[CGV 35% 환급할인]
- 이용금액 건당 1만원~2만원까지 할인 적용
- 제공조건 : 현장구매 및 CGV 홈페이지
- 할인제외 : 상품권 구매 / 매점 이용금액
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",2026-06-05
01664_B0004,1664,주요혜택,"아웃백, VIPS 20% 환급할인","아웃백, VIPS 할인",외식,16,Offline,할인,20,%,"아웃백, VIPS",전월 실적 20만원 이상,200000,,30000,,50000,원,,,,"[아웃백, VIPS 20% 환급할인]
- 이용금액 건당 3만원~5만원까지 할인 적용
- 할인제외 : 상품권 구매 / 백화점·대형할인점 입점 점포
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",외식 20% 할인,"[아웃백, VIPS 20% 환급할인]
- 이용금액 건당 3만원~5만원까지 할인 적용
- 할인제외 : 상품권 구매 / 백화점·대형할인점 입점 점포
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",2026-06-05
01664_B0005,1664,주요혜택,스타벅스 20% 환급할인,스타벅스 20% 환급할인,카페/베이커리,14,Both,할인,20,%,스타벅스,전월 실적 20만원 이상,200000,,10000,,20000,원,,,,"[스타벅스 20% 환급할인]
- 이용금액 건당 1만원~2만원까지 할인 적용
- 할인제외 : 상품권 구매 및 선불카드 구입·충전금액
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",카페/베이커리 20% 할인,"[스타벅스 20% 환급할인]
- 이용금액 건당 1만원~2만원까지 할인 적용
- 할인제외 : 상품권 구매 및 선불카드 구입·충전금액
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",2026-06-05
01664_B0006,1664,주요혜택,에버랜드·롯데월드 50% 환급할인,에버랜드·롯데월드 할인,레저/스포츠,9,Offline,할인,50,%,"에버랜드, 롯데월드",전월 실적 20만원 이상,200000,,30000,,50000,원,,,,"[에버랜드·롯데월드 50% 환급할인]
- 이용금액 건당 3만원~5만원까지 할인 적용
- 제공조건 : 현장 티켓 구매
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",레저/스포츠 50% 할인,"[에버랜드·롯데월드 50% 환급할인]
- 이용금액 건당 3만원~5만원까지 할인 적용
- 제공조건 : 현장 티켓 구매
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",2026-06-05
01664_B0007,1664,주요혜택,금융수수료 면제 서비스,금융수수료 면제,생활비,12,Online,서비스,,,KB국민은행,전월 실적 70만원 이상,700000,,0,,,,,,,"[금융수수료 면제 서비스]
- 인터넷·모바일·폰뱅킹 타행이체 수수료 면제(KB국민은행 계좌에서 타행계좌로 이체 시)
- KB국민은행 자동화기기 이용수수료 면제 (KB국민은행 이체 및 시간 외 인출)
- 서비스 제외 : 연체 및 거래정지 / 연계계좌 이체
- 실적조건 : 서비스 이용일 기준 최근 1개월 노리체크카드 및 동일계열카드 이용실적 70만원 이상 (매입 기준)","인터넷·모바일·폰뱅킹 타행이체 수수료 면제, KB국민은행 자동화기기 이용수수료 면제","[금융수수료 면제 서비스]
- 인터넷·모바일·폰뱅킹 타행이체 수수료 면제(KB국민은행 계좌에서 타행계좌로 이체 시)
- KB국민은행 자동화기기 이용수수료 면제 (KB국민은행 이체 및 시간 외 인출)
- 서비스 제외 : 연체 및 거래정지 / 연계계좌 이체
- 실적조건 : 서비스 이용일 기준 최근 1개월 노리체크카드 및 동일계열카드 이용실적 70만원 이상 (매입 기준)",2026-06-05
01664_B0008,1664,주요혜택,GS25 5% 환급할인,GS25 5% 환급할인,편의점,13,Offline,할인,5,%,GS25,전월 실적 20만원 이상,200000,,10000,,20000,원,,,,"[GS25 5% 환급할인]
- 이용금액 건당 1만원~2만원까지 할인 적용
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",편의점 5% 할인,"[GS25 5% 환급할인]
- 이용금액 건당 1만원~2만원까지 할인 적용
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",2026-06-05
01664_B0009,1664,주요혜택,교보문고 5% 환급할인,교보문고 5% 환급할인,교육/육아,20,Both,할인,5,%,교보문고,전월 실적 20만원 이상,200000,,20000,,50000,원,,,,"[교보문고 5% 환급할인]
- 이용금액 건당 2만원~5만원까지 할인 적용
- 제공조건 : 현장구매 및 교보문고 홈페이지
- 할인 제외 : 핫트랙스 이용금액
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",교육/육아 5% 할인,"[교보문고 5% 환급할인]
- 이용금액 건당 2만원~5만원까지 할인 적용
- 제공조건 : 현장구매 및 교보문고 홈페이지
- 할인 제외 : 핫트랙스 이용금액
- 전월이용실적에 따른 통합할인한도 적용

[이용 조건]
전월 이용실적 20만원 이상",2026-06-05
